"Date","GSPC.Adjusted","DJI.Adjusted","NYA.Adjusted","W5000.Adjusted","RUT.Adjusted"
2015-01-02,2058.19995117188,17832.990234375,10830.919921875,21665.3203125,1198.80004882812
2015-01-05,2020.57995605469,17501.650390625,10607.6796875,21269.060546875,1181.34997558594
2015-01-06,2002.60998535156,17371.640625,10514.8701171875,21060.25,1161.31005859375
2015-01-07,2025.90002441406,17584.51953125,10627.1298828125,21301.669921875,1175.96997070312
2015-01-08,2062.13989257812,17907.869140625,10800.5400390625,21672.390625,1196.13000488281
2015-01-09,2044.81005859375,17737.369140625,10711.41015625,21497.119140625,1185.68005371094
2015-01-12,2028.26000976562,17640.83984375,10640.740234375,21330.630859375,1180.08996582031
2015-01-13,2023.03002929688,17613.6796875,10622.9599609375,21280.560546875,1180.64001464844
2015-01-14,2011.27001953125,17427.08984375,10565.419921875,21164.94921875,1177.06005859375
2015-01-15,1992.67004394531,17320.7109375,10514.599609375,20953.33984375,1154.7099609375
2015-01-16,2019.42004394531,17511.5703125,10660.3203125,21244.6796875,1176.65002441406
2015-01-20,2022.55004882812,17515.23046875,10658.6201171875,21258.140625,1170.25
2015-01-21,2032.11999511719,17554.279296875,10720.400390625,21352.669921875,1166.25
2015-01-22,2063.14990234375,17813.98046875,10859.349609375,21685.029296875,1190.36999511719
2015-01-23,2051.82006835938,17672.599609375,10788.330078125,21588.009765625,1188.93005371094
2015-01-26,2057.09008789062,17678.69921875,10847.150390625,21685.830078125,1200.73999023438
2015-01-27,2029.55004882812,17387.2109375,10781.830078125,21435.560546875,1194.66003417969
2015-01-28,2002.16003417969,17191.369140625,10603.8603515625,21135.5703125,1175.11999511719
2015-01-29,2021.25,17416.849609375,10691.6298828125,21329.58984375,1190.18005371094
2015-01-30,1994.98999023438,17164.94921875,10537.2197265625,21060.439453125,1165.39001464844
2015-02-02,2020.84997558594,17361.0390625,10669.0302734375,21310.470703125,1175.51000976562
2015-02-03,2050.03002929688,17666.400390625,10847.41015625,21624.779296875,1196.98999023438
2015-02-04,2041.51000976562,17673.01953125,10775.0400390625,21536.439453125,1191.43994140625
2015-02-05,2062.52001953125,17884.880859375,10896.0595703125,21774.5,1208.7099609375
2015-02-06,2055.46997070312,17824.2890625,10847.509765625,21705.75,1205.4599609375
2015-02-09,2046.73999023438,17729.2109375,10826.58984375,21602.51953125,1195.82995605469
2015-02-10,2068.59008789062,17868.759765625,10915.1396484375,21813.970703125,1203.18005371094
2015-02-11,2068.53002929688,17862.140625,10889.0498046875,21807.2109375,1201.55004882812
2015-02-12,2088.47998046875,17972.380859375,10995.3095703125,22022.240234375,1216.27001953125
2015-02-13,2096.98999023438,18019.349609375,11042.6904296875,22120.810546875,1223.13000488281
2015-02-17,2100.34008789062,18047.580078125,11054.4697265625,22152.310546875,1225.01000976562
2015-02-18,2099.67993164062,18029.849609375,11064.08984375,22161.029296875,1227.94995117188
2015-02-19,2097.44995117188,17985.76953125,11038.259765625,22141.1796875,1227.91003417969
2015-02-20,2110.30004882812,18140.439453125,11108.669921875,22278.55078125,1231.7900390625
2015-02-23,2109.65991210938,18116.83984375,11074.580078125,22260,1231.82995605469
2015-02-24,2115.47998046875,18209.189453125,11122.1103515625,22308.640625,1233.97998046875
2015-02-25,2113.86010742188,18224.5703125,11117.9296875,22314.560546875,1235.09997558594
2015-02-26,2110.73999023438,18214.419921875,11082.099609375,22278.23046875,1239.10998535156
2015-02-27,2104.5,18132.69921875,11062.7900390625,22212.33984375,1233.36999511719
2015-03-02,2117.38989257812,18288.630859375,11102.8203125,22346.240234375,1242.61999511719
2015-03-03,2107.78002929688,18203.369140625,11051.2197265625,22255.7890625,1234.76000976562
2015-03-04,2098.53002929688,18096.900390625,11004.6796875,22158.51953125,1230.72998046875
2015-03-05,2101.0400390625,18135.720703125,11014.259765625,22192.83984375,1234.31005859375
2015-03-06,2071.26000976562,17856.779296875,10842.169921875,21886.4296875,1217.52001953125
2015-03-09,2079.42993164062,17995.720703125,10866.6201171875,21960.689453125,1223.58996582031
2015-03-10,2044.16003417969,17662.939453125,10678.41015625,21616.91015625,1208.46997070312
2015-03-11,2040.23999023438,17635.390625,10678.759765625,21600.880859375,1215.78002929688
2015-03-12,2065.94995117188,17895.220703125,10820.8701171875,21869.630859375,1236.64001464844
2015-03-13,2053.39990234375,17749.310546875,10751.01953125,21746.759765625,1232.14001464844
2015-03-16,2081.18994140625,17977.419921875,10881.1796875,22006.560546875,1239.78002929688
2015-03-17,2074.28002929688,17849.080078125,10862.4296875,21963.9296875,1242.22998046875
2015-03-18,2099.5,18076.189453125,11019.7197265625,22216.599609375,1252.14001464844
2015-03-19,2089.27001953125,17959.029296875,10931.3603515625,22135.810546875,1254.85998535156
2015-03-20,2108.10009765625,18127.650390625,11070.5302734375,22330.890625,1266.36999511719
2015-03-23,2104.419921875,18116.0390625,11070.8896484375,22293.01953125,1264.7099609375
2015-03-24,2091.5,18011.140625,11019.75,22172.19921875,1263.4599609375
2015-03-25,2061.05004882812,17718.5390625,10897.509765625,21832.169921875,1233.84997558594
2015-03-26,2056.14990234375,17678.23046875,10865.150390625,21782.91015625,1231.98999023438
2015-03-27,2061.02001953125,17712.66015625,10875.1396484375,21846.7890625,1240.41003417969
2015-03-30,2086.23999023438,17976.310546875,10989.16015625,22114.560546875,1257.80004882812
2015-03-31,2067.88989257812,17776.119140625,10899.1904296875,21947.91015625,1252.77001953125
2015-04-01,2059.68994140625,17698.1796875,10891.6103515625,21869.060546875,1251.7099609375
